date_time,blockchain,total_txs,total_active_users,total_contracts,cumulative_txs
2024-03-22 00:00:00.000 UTC,base,8,10,9,44280
2024-03-21 00:00:00.000 UTC,zora,67,66,4,264
2024-03-21 00:00:00.000 UTC,base,966,626,46,44272
2024-03-21 00:00:00.000 UTC,optimism,17,19,11,213
2024-03-20 00:00:00.000 UTC,base,1545,1035,51,43306
2024-03-20 00:00:00.000 UTC,optimism,15,10,11,196
2024-03-20 00:00:00.000 UTC,zora,8,5,6,197
2024-03-19 00:00:00.000 UTC,optimism,8,8,5,181
2024-03-19 00:00:00.000 UTC,zora,10,6,5,189
2024-03-19 00:00:00.000 UTC,base,1341,879,55,41761
2024-03-18 00:00:00.000 UTC,zora,39,12,9,179
2024-03-18 00:00:00.000 UTC,base,566,375,61,40420
2024-03-18 00:00:00.000 UTC,optimism,3,3,1,173
2024-03-17 00:00:00.000 UTC,base,1355,1110,55,39854
2024-03-17 00:00:00.000 UTC,optimism,7,4,1,170
2024-03-17 00:00:00.000 UTC,zora,5,2,3,140
2024-03-16 00:00:00.000 UTC,optimism,22,14,6,163
2024-03-16 00:00:00.000 UTC,zora,4,2,2,135
2024-03-16 00:00:00.000 UTC,base,2318,1005,52,38499
2024-03-15 00:00:00.000 UTC,zora,5,7,4,131
2024-03-15 00:00:00.000 UTC,base,2496,1769,67,36181
2024-03-15 00:00:00.000 UTC,optimism,26,23,8,141
2024-03-14 00:00:00.000 UTC,base,15547,7488,69,33685
2024-03-14 00:00:00.000 UTC,optimism,25,15,7,115
2024-03-14 00:00:00.000 UTC,zora,5,6,5,126
2024-03-13 00:00:00.000 UTC,optimism,13,9,4,90
2024-03-13 00:00:00.000 UTC,zora,8,8,5,121
2024-03-13 00:00:00.000 UTC,base,1736,1502,47,18138
2024-03-12 00:00:00.000 UTC,zora,7,6,1,113
2024-03-12 00:00:00.000 UTC,base,2540,2237,49,16402
2024-03-12 00:00:00.000 UTC,optimism,14,12,3,77
2024-03-11 00:00:00.000 UTC,base,2480,2346,51,13862
2024-03-11 00:00:00.000 UTC,optimism,5,6,6,63
2024-03-11 00:00:00.000 UTC,zora,7,6,3,106
2024-03-10 00:00:00.000 UTC,optimism,6,6,3,58
2024-03-10 00:00:00.000 UTC,zora,16,12,1,99
2024-03-10 00:00:00.000 UTC,base,1054,942,36,11382
2024-03-09 00:00:00.000 UTC,zora,32,25,5,83
2024-03-09 00:00:00.000 UTC,base,4366,3543,62,10328
2024-03-09 00:00:00.000 UTC,optimism,13,8,3,52
2024-03-08 00:00:00.000 UTC,base,5940,4751,61,5962
2024-03-08 00:00:00.000 UTC,optimism,32,29,7,39
2024-03-08 00:00:00.000 UTC,zora,50,37,12,51
2024-03-07 00:00:00.000 UTC,optimism,7,6,4,7
2024-03-07 00:00:00.000 UTC,zora,1,1,1,1
2024-03-07 00:00:00.000 UTC,base,22,7,7,22
