date_time,total_txs,total_active_users,total_contracts,cumulative_txs
2024-03-22 00:00:00.000 UTC,312,201,70,45061
2024-03-21 00:00:00.000 UTC,1050,693,59,44749
2024-03-20 00:00:00.000 UTC,1568,1048,68,43699
2024-03-19 00:00:00.000 UTC,1359,889,65,42131
2024-03-18 00:00:00.000 UTC,608,388,71,40772
2024-03-17 00:00:00.000 UTC,1367,1113,58,40164
2024-03-16 00:00:00.000 UTC,2344,1016,60,38797
2024-03-15 00:00:00.000 UTC,2527,1797,79,36453
2024-03-14 00:00:00.000 UTC,15577,7494,79,33926
2024-03-13 00:00:00.000 UTC,1757,1514,54,18349
