day,target_fid,hash,type,followers_count
2024-01-01T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,90
2024-01-02T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,363
2024-01-03T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,818
2024-01-04T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,753
2024-01-05T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,587
2024-01-06T00:00:00Z,99,0xcdc77ea2154b307ee5fa37ffb719371912d556ca,follow,584
2024-01-07T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,418
2024-01-08T00:00:00Z,99,0xcdc77ea2154b307ee5fa37ffb719371912d556ca,follow,447
2024-01-09T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,668
2024-01-10T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,1281
2024-01-11T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,1265
2024-01-12T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,854
2024-01-12T00:00:00Z,206,0x116358ff8dbcda3f2700b32db54818faca8fb573,follow,854
2024-01-13T00:00:00Z,99,0xcdc77ea2154b307ee5fa37ffb719371912d556ca,follow,915
2024-01-13T00:00:00Z,3,0xe96c229101a2b9add841aca5d9ea22d63985a457,follow,915
2024-01-14T00:00:00Z,206,0x116358ff8dbcda3f2700b32db54818faca8fb573,follow,740
2024-01-15T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,531
2024-01-16T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,454
2024-01-17T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,566
2024-01-18T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,419
2024-01-19T00:00:00Z,99,0xcdc77ea2154b307ee5fa37ffb719371912d556ca,follow,573
2024-01-20T00:00:00Z,99,0xcdc77ea2154b307ee5fa37ffb719371912d556ca,follow,793
2024-01-21T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,827
2024-01-22T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,489
2024-01-23T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,535
2024-01-24T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,656
2024-01-25T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,600
2024-01-26T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,571
2024-01-27T00:00:00Z,2007,0xb46921f8d3788ff226c1a71f73b57531f472b5b4,follow,1223
2024-01-28T00:00:00Z,2007,0xb46921f8d3788ff226c1a71f73b57531f472b5b4,follow,1743
2024-01-29T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,1219
2024-01-30T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,1680
2024-01-31T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,1599
2024-02-01T00:00:00Z,229150,0x23022688417e64cff635710ba857ea4e49e0cbda,follow,2851
2024-02-02T00:00:00Z,3780,0x79d82cd246f775622d3e4f1db09b97bb3fbeb48a,follow,5438
2024-02-03T00:00:00Z,12142,0x441e6716073d632c5bcca8e1fefb1d301b564ccb,follow,7348
2024-02-04T00:00:00Z,5650,0x196300f67c19af2f5257482ea7e0b92ffa68f91e,follow,9176
2024-02-05T00:00:00Z,99,0xcdc77ea2154b307ee5fa37ffb719371912d556ca,follow,16066
2024-02-06T00:00:00Z,3,0xe96c229101a2b9add841aca5d9ea22d63985a457,follow,13636
2024-02-07T00:00:00Z,249199,0x95eb5bdef45a027290ec39c59f9369fe98aabf3c,follow,13165
2024-02-08T00:00:00Z,3095,0xdee3bee5884dd4ad1e905af11bf589d6e4c02089,follow,8074
2024-02-09T00:00:00Z,329883,0xa49fd7847f4a2e76dc45b1c9d4ba239a58f7e87e,follow,13779
2024-02-10T00:00:00Z,295519,0x4639e4d2ca1ebaa1c61b061d5cc3872fcd8bb5f4,follow,6125
2024-02-11T00:00:00Z,336788,0xace59df280a5a7067f9ea5edacaa3b0397bcd3f1,follow,9901
2024-02-12T00:00:00Z,341482,0xe5cc1635dcfeffd1624e442407380926e9c80840,follow,5200
2024-02-13T00:00:00Z,341506,0x2c49f173761318d5b4e2c0753a91622304ec5b13,follow,5569
2024-02-14T00:00:00Z,345923,0x9c77302cffa833e0de13f3c0272ffcf674092acf,follow,2823
2024-02-15T00:00:00Z,348788,0x17bb339d8ad9869b023e426b1b83c047f873fa37,follow,4496
2024-02-16T00:00:00Z,342665,0xf2f868b7c27d97b59ff9887b1d7fd9d03f41c663,follow,5206
2024-02-17T00:00:00Z,269169,0xeec72a4f9443125db6ea785fa25c14fe00ce3f0a,follow,4565
2024-02-18T00:00:00Z,355066,0x88499894745b1b2c8d593a5d4dffd24f66fc2d85,follow,8195
2024-02-19T00:00:00Z,358602,0xac562859b05cbcad436c405c5e097cc1341bc1e5,follow,5334
2024-02-20T00:00:00Z,361319,0x542b2feaa007eb4c79fdc108c2ff1f4cb17d8840,follow,9644
2024-02-21T00:00:00Z,362462,0x41056e3d47b35bf0d104ec9d3cc8b4c419f3ec75,follow,5925
2024-02-22T00:00:00Z,24005,0x0951bc382e5434e22f1ba22fbb5eeb1224111004,follow,9161
2024-02-23T00:00:00Z,24005,0x0951bc382e5434e22f1ba22fbb5eeb1224111004,follow,2570
2024-02-24T00:00:00Z,370078,0x3a06be5634dda1f8a067c184d4f9c71a802c7849,follow,11068
2024-02-25T00:00:00Z,354474,0xb783eaa5f1b38da059d6676823f18f6cb6cb991e,follow,4253
2024-02-26T00:00:00Z,372573,0xd93f99fd1e80190247958af08110958f713cc7cc,follow,1713
2024-02-27T00:00:00Z,344497,0x1a6ecdb76829a92bddb58b0619b90916e34f0fdf,follow,9360
2024-02-28T00:00:00Z,20919,0xc53c3816e0cd410a9bf9e46a384a0c1d1685c4ef,follow,7194
2024-02-29T00:00:00Z,20919,0xc53c3816e0cd410a9bf9e46a384a0c1d1685c4ef,follow,12018
