day,total_reactions
2023-12-01T00:00:00Z,16416
2023-12-02T00:00:00Z,14346
2023-12-03T00:00:00Z,14649
2023-12-04T00:00:00Z,17542
2023-12-05T00:00:00Z,16936
2023-12-06T00:00:00Z,16358
2023-12-07T00:00:00Z,15962
2023-12-08T00:00:00Z,16870
2023-12-09T00:00:00Z,16732
2023-12-10T00:00:00Z,14993
2023-12-11T00:00:00Z,20813
2023-12-12T00:00:00Z,19291
2023-12-13T00:00:00Z,24083
2023-12-14T00:00:00Z,22663
2023-12-15T00:00:00Z,23945
2023-12-16T00:00:00Z,25875
2023-12-17T00:00:00Z,21108
2023-12-18T00:00:00Z,23092
2023-12-19T00:00:00Z,24295
2023-12-20T00:00:00Z,26529
2023-12-21T00:00:00Z,24934
2023-12-22T00:00:00Z,21910
2023-12-23T00:00:00Z,18445
2023-12-24T00:00:00Z,20166
2023-12-25T00:00:00Z,18054
2023-12-26T00:00:00Z,15981
2023-12-27T00:00:00Z,18689
2023-12-28T00:00:00Z,19083
2023-12-29T00:00:00Z,17804
2023-12-30T00:00:00Z,18527
2023-12-31T00:00:00Z,19568
2024-01-01T00:00:00Z,19794
2024-01-02T00:00:00Z,27139
2024-01-03T00:00:00Z,25820
2024-01-04T00:00:00Z,27918
2024-01-05T00:00:00Z,33582
2024-01-06T00:00:00Z,29376
2024-01-07T00:00:00Z,19889
2024-01-08T00:00:00Z,29000
2024-01-09T00:00:00Z,29645
2024-01-10T00:00:00Z,26818
2024-01-11T00:00:00Z,25250
2024-01-12T00:00:00Z,26111
2024-01-13T00:00:00Z,25625
2024-01-14T00:00:00Z,19941
2024-01-15T00:00:00Z,19763
2024-01-16T00:00:00Z,24321
2024-01-17T00:00:00Z,28144
2024-01-18T00:00:00Z,27253
2024-01-19T00:00:00Z,31632
2024-01-20T00:00:00Z,26837
2024-01-21T00:00:00Z,26662
2024-01-22T00:00:00Z,31723
2024-01-23T00:00:00Z,30872
2024-01-24T00:00:00Z,32004
2024-01-25T00:00:00Z,28658
2024-01-26T00:00:00Z,37235
2024-01-27T00:00:00Z,55227
2024-01-28T00:00:00Z,87458
2024-01-29T00:00:00Z,98576
2024-01-30T00:00:00Z,149513
2024-01-31T00:00:00Z,180382
2024-02-01T00:00:00Z,273827
2024-02-02T00:00:00Z,452537
2024-02-03T00:00:00Z,534962
2024-02-04T00:00:00Z,662625
2024-02-05T00:00:00Z,715657
2024-02-06T00:00:00Z,780299
2024-02-07T00:00:00Z,819095
2024-02-08T00:00:00Z,697037
2024-02-09T00:00:00Z,866117
2024-02-10T00:00:00Z,652215
2024-02-11T00:00:00Z,636066
2024-02-12T00:00:00Z,592943
2024-02-13T00:00:00Z,627118
2024-02-14T00:00:00Z,540698
2024-02-15T00:00:00Z,581258
2024-02-16T00:00:00Z,770675
2024-02-17T00:00:00Z,756683
2024-02-18T00:00:00Z,705426
2024-02-19T00:00:00Z,667186
2024-02-20T00:00:00Z,611988
2024-02-21T00:00:00Z,569189
2024-02-22T00:00:00Z,505550
2024-02-23T00:00:00Z,471197
2024-02-24T00:00:00Z,450090
2024-02-25T00:00:00Z,411293
2024-02-26T00:00:00Z,476761
2024-02-27T00:00:00Z,400249
2024-02-28T00:00:00Z,342694
2024-02-29T00:00:00Z,382199
2024-03-01T00:00:00Z,369989
2024-03-02T00:00:00Z,431139
2024-03-03T00:00:00Z,505644
2024-03-04T00:00:00Z,495572
2024-03-05T00:00:00Z,528928
2024-03-06T00:00:00Z,566138
2024-03-07T00:00:00Z,559056
2024-03-08T00:00:00Z,501763
2024-03-09T00:00:00Z,496501
2024-03-10T00:00:00Z,561263
2024-03-11T00:00:00Z,511004
2024-03-12T00:00:00Z,553422
2024-03-13T00:00:00Z,508651
2024-03-14T00:00:00Z,645516
2024-03-15T00:00:00Z,575024
2024-03-16T00:00:00Z,501759
2024-03-17T00:00:00Z,528349
2024-03-18T00:00:00Z,498361
2024-03-19T00:00:00Z,524195
2024-03-20T00:00:00Z,1
